probe,group_kind,group,n,pct_reads_mean,pct_reads_min,pct_reads_max,n_layers,band_lo,band_hi,ref_tpr_mean,ref_fpr_mean,gap_position_mean
eval,source,in_the_wild,73,84.20091324200912,13.698630136986301,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,source,in_the_wild,73,68.40182648401827,50.68493150684932,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,source,in_the_wild,73,99.3607305936073,94.52054794520548,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,source,in_the_wild,73,71.32420091324201,36.986301369863014,94.52054794520548,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,source,in_the_wild,73,1.735159817351598,0.0,2.73972602739726,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,source,in_the_wild,73,31.324200913242006,0.0,76.71232876712328,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,source,strongreject,19,82.80701754385966,5.2631578947368425,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,source,strongreject,19,29.82456140350878,10.526315789473685,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,source,strongreject,19,98.24561403508773,84.21052631578948,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,source,strongreject,19,48.07017543859649,15.789473684210526,94.73684210526316,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,source,strongreject,19,1.7543859649122808,0.0,15.789473684210526,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,source,strongreject,19,24.210526315789476,0.0,73.6842105263158,15,11,25,1.0,0.022564102564102566,0.26895308938815593
eval,technique,in_the_wild_wrapper,73,84.20091324200912,13.698630136986301,100.0,15,11,25,0.7056410256410255,0.2953846153846154,nan
harm,technique,in_the_wild_wrapper,73,68.40182648401827,50.68493150684932,100.0,15,11,25,0.8358974358974361,0.09743589743589744,nan
length,technique,in_the_wild_wrapper,73,99.3607305936073,94.52054794520548,100.0,15,11,25,0.9244444444444444,0.0,nan
persona,technique,in_the_wild_wrapper,73,71.32420091324201,36.986301369863014,94.52054794520548,15,11,25,0.914871794871795,0.07282051282051283,nan
story_v1,technique,in_the_wild_wrapper,73,1.735159817351598,0.0,2.73972602739726,15,11,25,0.997948717948718,0.0010256410256410256,0.5412041050602042
story_v2,technique,in_the_wild_wrapper,73,31.324200913242006,0.0,76.71232876712328,15,11,25,1.0,0.022564102564102566,0.26895308938815593
