axis,basis,basis_axes,layer,depth,resid_frac
harm_v2,story_v2_1k,story_v2_1k,37,0.881,0.9994825078421371
harm_v2,story_v2_1k,story_v2_1k,38,0.9048,0.9995280177364981
harm_v2,story_v2_1k,story_v2_1k,39,0.9286,0.9991310836704818
harm_v2,story_v2_1k,story_v2_1k,40,0.9524,0.9984266885868698
harm_v2,story_v2_1k,story_v2_1k,41,0.9762,0.9940097983386674
harm_v2,story_v2_1k,story_v2_1k,42,1.0,0.9992340110901591
eval_v2,others,story_v2_1k+persona_v2+harm_v2,0,0.0,0.0
eval_v2,others,story_v2_1k+persona_v2+harm_v2,1,0.0238,0.7813158134868476
eval_v2,others,story_v2_1k+persona_v2+harm_v2,2,0.0476,0.9214009785045228
eval_v2,others,story_v2_1k+persona_v2+harm_v2,3,0.0714,0.9094541576773018
eval_v2,others,story_v2_1k+persona_v2+harm_v2,4,0.0952,0.9378956946876776
eval_v2,others,story_v2_1k+persona_v2+harm_v2,5,0.119,0.9715016889659186
eval_v2,others,story_v2_1k+persona_v2+harm_v2,6,0.1429,0.9698268536141204
eval_v2,others,story_v2_1k+persona_v2+harm_v2,7,0.1667,0.984065893666052
eval_v2,others,story_v2_1k+persona_v2+harm_v2,8,0.1905,0.9852293942489491
eval_v2,others,story_v2_1k+persona_v2+harm_v2,9,0.2143,0.9963135340655309
eval_v2,others,story_v2_1k+persona_v2+harm_v2,10,0.2381,0.9908125909057033
eval_v2,others,story_v2_1k+persona_v2+harm_v2,11,0.2619,0.9919833664311313
eval_v2,others,story_v2_1k+persona_v2+harm_v2,12,0.2857,0.9944813697898318
eval_v2,others,story_v2_1k+persona_v2+harm_v2,13,0.3095,0.9975362002862515
eval_v2,others,story_v2_1k+persona_v2+harm_v2,14,0.3333,0.9975062928032731
eval_v2,others,story_v2_1k+persona_v2+harm_v2,15,0.3571,0.9985872336116116
eval_v2,others,story_v2_1k+persona_v2+harm_v2,16,0.381,0.9945224150774504
eval_v2,others,story_v2_1k+persona_v2+harm_v2,17,0.4048,0.9902139657225757
eval_v2,others,story_v2_1k+persona_v2+harm_v2,18,0.4286,0.9911022412498709
eval_v2,others,story_v2_1k+persona_v2+harm_v2,19,0.4524,0.9900048445865987
eval_v2,others,story_v2_1k+persona_v2+harm_v2,20,0.4762,0.981938044794306
eval_v2,others,story_v2_1k+persona_v2+harm_v2,21,0.5,0.9697583188915881
eval_v2,others,story_v2_1k+persona_v2+harm_v2,22,0.5238,0.9726568178377367
eval_v2,others,story_v2_1k+persona_v2+harm_v2,23,0.5476,0.9674349377519913
eval_v2,others,story_v2_1k+persona_v2+harm_v2,24,0.5714,0.9613191023655064
eval_v2,others,story_v2_1k+persona_v2+harm_v2,25,0.5952,0.9639833679519569
eval_v2,others,story_v2_1k+persona_v2+harm_v2,26,0.619,0.96672279299819
