probe,axis,layer,depth,null_folded,null_dz_folded,cos_probe_axis,cell_type,auroc,wins,ties,n,auroc_folded,cohens_dz,cohens_dz_folded,delta_excluded,excess_over_null,excess_dz_over_null,auroc_sd,n_draws,axis_mean_paired_cos
harm_v2,story_v2_1k,42,1.0,0.67275,0.4729743100800916,0.03913299170059481,offdiag_pooled,0.665,665,0,1000,0.665,0.4340604551295822,0.4340604551295822,0.7,-0.007749999999999924,-0.03891385495050942,,,
persona_v2,eval_v2,0,0.0,0.5,nan,0.0,offdiag_pooled,0.5,0,1000,1000,0.5,nan,nan,0.6,0.0,nan,,,
persona_v2,eval_v2,1,0.0238,0.5756,0.1761346815109719,-0.09138352530605973,offdiag_pooled,0.518,518,0,1000,0.518,-0.14792902666916444,0.14792902666916444,0.6,-0.057599999999999985,-0.028205654841807454,,,
persona_v2,eval_v2,2,0.0476,0.6000000000000001,0.2636935753685775,0.016614182723064155,offdiag_pooled,0.48,480,0,1000,0.52,0.052424968480401984,0.052424968480401984,0.6,-0.08000000000000007,-0.21126860688817553,,,
persona_v2,eval_v2,3,0.0714,0.6025999999999999,0.23207045473244406,-0.07218336218153726,offdiag_pooled,0.476,476,0,1000,0.524,-0.09685329301383774,0.09685329301383774,0.6,-0.07859999999999989,-0.13521716171860632,,,
persona_v2,eval_v2,4,0.0952,0.6196999999999999,0.2868743009369653,0.03688744998017964,offdiag_pooled,0.584,584,0,1000,0.584,0.1466811023661401,0.1466811023661401,0.65,-0.035699999999999954,-0.1401931985708252,,,
persona_v2,eval_v2,5,0.119,0.62195,0.3018967202193817,0.06947828529687038,offdiag_pooled,0.625,625,0,1000,0.625,0.24672991170968492,0.24672991170968492,0.7,0.003049999999999997,-0.05516680850969677,,,
persona_v2,eval_v2,6,0.1429,0.5967,0.23612254831370544,0.03786652927579116,offdiag_pooled,0.552,552,0,1000,0.552,0.15885325885321422,0.15885325885321422,0.6,-0.04469999999999996,-0.07726928946049122,,,
persona_v2,eval_v2,7,0.1667,0.62755,0.3295751628214926,0.008478368710777189,offdiag_pooled,0.506,506,0,1000,0.506,0.042449638202441714,0.042449638202441714,0.6,-0.12155000000000005,-0.28712552461905083,,,
persona_v2,eval_v2,8,0.1905,0.6461500000000001,0.3579226108510828,0.019906536066300023,offdiag_pooled,0.505,505,0,1000,0.505,0.09038949011873021,0.09038949011873021,0.6,-0.1411500000000001,-0.2675331207323526,,,
persona_v2,eval_v2,9,0.2143,0.58785,0.2001709383142524,-0.05672817267817054,offdiag_pooled,0.492,492,0,1000,0.508,-0.09725405706763929,0.09725405706763929,0.6,-0.07984999999999998,-0.1029168812466131,,,
persona_v2,eval_v2,10,0.2381,0.5707,0.18804612796107417,0.10860614982327423,offdiag_pooled,0.611,611,0,1000,0.611,0.32608619862766103,0.32608619862766103,0.65,0.0403,0.13804007066658686,,,
persona_v2,eval_v2,11,0.2619,0.5859000000000001,0.2049839458024882,0.10400297393732276,offdiag_pooled,0.602,602,0,1000,0.602,0.313214089702168,0.313214089702168,0.65,0.016099999999999892,0.10823014389967983,,,
persona_v2,eval_v2,12,0.2857,0.60075,0.24682686257975828,0.08851504931659779,offdiag_pooled,0.572,572,0,1000,0.572,0.23102560855119494,0.23102560855119494,0.65,-0.028750000000000053,-0.015801254028563333,,,
persona_v2,eval_v2,13,0.3095,0.59705,0.23883335137223835,0.06612327162747003,offdiag_pooled,0.544,544,0,1000,0.544,0.17447703457986688,0.17447703457986688,0.6,-0.05304999999999993,-0.06435631679237147,,,
persona_v2,eval_v2,14,0.3333,0.5740000000000001,0.18528549884462792,0.055144051532573284,offdiag_pooled,0.57,570,0,1000,0.57,0.16918093907735646,0.16918093907735646,0.65,-0.004000000000000115,-0.01610455976727146,,,
persona_v2,eval_v2,15,0.3571,0.5985,0.2396572249475511,0.03676031392328034,offdiag_pooled,0.52,520,0,1000,0.52,0.11286648066457017,0.11286648066457017,0.6,-0.07850000000000001,-0.12679074428298093,,,
