axis_a,axis_b,layer,depth,cos,reliability_a,reliability_b,cos_disattenuated
story_v2_1k,eval_v2,32,0.7619,-0.11454268237647466,0.9975536651713808,0.9877460794834138,-0.11539222769334595
story_v2_1k,eval_v2,33,0.7857,-0.09755244428279161,0.9975096438510886,0.9875259868692822,-0.09828909528246492
story_v2_1k,eval_v2,34,0.8095,-0.10184770269764218,0.9973242204059783,0.9878377972297242,-0.1026101292400209
story_v2_1k,eval_v2,35,0.8333,-0.10354731376664034,0.9971296982442412,0.9879731566988762,-0.10432549132683507
story_v2_1k,eval_v2,36,0.8571,-0.09835365084809713,0.9969458288500812,0.9879676858550818,-0.09910220899418626
story_v2_1k,eval_v2,37,0.881,-0.10046587047579339,0.9967185507928357,0.9882500943162522,-0.10122757861998548
story_v2_1k,eval_v2,38,0.9048,-0.10558859476616983,0.9966633652338546,0.9885139727580061,-0.10637788619382922
story_v2_1k,eval_v2,39,0.9286,-0.10162807625905085,0.996607900979395,0.9887443976867057,-0.10237867958032795
story_v2_1k,eval_v2,40,0.9524,-0.11135037272557134,0.9963385158767322,0.9888126475886508,-0.1121840744056045
story_v2_1k,eval_v2,41,0.9762,-0.1613384577685679,0.9964049510852548,0.9897571234343948,-0.16246343999273774
story_v2_1k,eval_v2,42,1.0,-0.15945250739408545,0.9960175140412143,0.9895806192540854,-0.1606098863480278
persona_v2,harm_v2,0,0.0,0.0,nan,nan,nan
persona_v2,harm_v2,1,0.0238,0.19526429885593122,0.9968133224944785,0.9700585856988125,0.19857151421013577
persona_v2,harm_v2,2,0.0476,0.05006895318243905,0.9962525247385106,0.9852199355406098,0.05053790078192524
persona_v2,harm_v2,3,0.0714,0.020604636031211664,0.9976267265252259,0.9859421746980664,0.02077567713256106
persona_v2,harm_v2,4,0.0952,0.006940200856249552,0.9980047922496462,0.9867132734288021,0.0069937522078655995
persona_v2,harm_v2,5,0.119,0.031187601194550937,0.996595125755727,0.9889267220040829,0.031415251193409995
